Plot;Year;Treatment;Bloc;SP1;SP3;SP4;SP5;SP6;SP7;SP8;SP9;SP11;SP12;SP13;SP14;SP15;SP16;SP18;SP19;SP20;SP21;SP22;SP23;SP24;SP25;SP26;SP28;SP30;SP31;SP33;SP34;SP35;SP36;SP37;SP38;SP39;SP40;SP41;SP42;SP43;SP44;SP45;SP46;SP47;SP48;SP49;SP50;SP51;SP52;SP53;SP55;SP56;SP57;SP58;SP60;SP62;SP63;SP64;SP65;SP67;SP68;SP69;SP70;SP71;SP72;SP73;SP74;SP75;SP76;SP77;SP78;SP79;SP80;SP81;SP82;SP83;SP84;SP85;SP86;SP87;SP88;SP90;SP91;SP92;SP93;SP94;SP95;SP96;SP97;SP98;SP99;SP101;SP102;SP103;SP104;SP105;SP106;SP107;SP108;SP109;SP110
20;2012;Mown_NPK;2;0;0.793650794;0;0;22.22222222;0.793650794;0;0;0;0;0;0;0;0;0;0;0;0;1.587301587;0;0;0;0;0;0;0;0;0;13.49206349;0;0;0;1.587301587;0;0;0;0;0;0;0;0;0;0;4.761904762;0;0;0;0;0.793650794;0;0;0;0;0.793650794;0;0;0;0;0;0;0.793650794;23.01587302;4.761904762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.6984127;0;0;0;0;11.9047619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2012;Mown_NPK;2;3.797468354;0;0;0;20.25316456;0;0;1.265822785;0;0;0;0;0;0;0;0;0;1.265822785;0.632911392;0;0;0;0;0;0;0;0;3.164556962;0;0;0;0;4.430379747;0;0;0;0;0;0;0;0;0;0;4.430379747;0;0;0;0;0;0;0;0;0;12.65822785;0;0;0;0;0;0;0;17.08860759;5.063291139;0;0;0;0;0;0;0;0.632911392;0.632911392;0.632911392;0;0;0;4.430379747;18.98734177;0;0;0;0.632911392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2013;Mown_NPK;1;0;0;0;0;0.787401575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.362204724;31.49606299;0;0;0;9.448818898;0;0;0;0;0;0;0;0;0;0;1.57480315;0;0;0;0;0;0;0;0;11.81102362;1.57480315;0;0;0;0;0;0;0;18.11023622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.362204724;20.47244094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2013;Mown_NPK;1;1.538461538;1.538461538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.076923077;0;0;0;0;0;0;0;0;0;29.23076923;0;0;0;11.53846154;0;0;0;0;0;0;0;0;0;0;0.769230769;0.769230769;0;0;0;0.769230769;0;0;0;3.076923077;5.384615385;0;0;0;0;1.538461538;0;0;13.84615385;0;0;0;0;0;0;0;0;0;0;0.769230769;0;0;0;3.076923077;22.30769231;0;0;0;0.769230769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2013;Mown_NPK;2;0.694444444;1.388888889;0;0;20.13888889;0;0;0;0;0;0;0;0;0;0;0;0;0;0.694444444;0;0;4.166666667;0;0;0;0;0;1.388888889;7.638888889;0;0;0;2.777777778;0;0;0;0;0;0;0;0;0;0;4.861111111;0;0;0;0;1.388888889;0;0;0;0;0;0;0;0;0;0;0;0;22.91666667;1.388888889;0;0;0;0;0;0;0;0;0;0;0;0;0;4.166666667;13.19444444;0;0;0;0;13.19444444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2013;Mown_NPK;2;7.741935484;0;0;0;20.64516129;0;0;0;0;0;0;0;0;0;0;0;0;3.225806452;0.64516129;0;0;0;0;0;0;0;0;3.225806452;0;0;0;0;5.161290323;0;0;0;0;0;0;0;0;0;0;5.806451613;0;0;0;0;0;0;0;0;0;7.096774194;0;0;0;0;0;0;0;23.87096774;5.806451613;0;0;0;0;0;0;0;0.64516129;0.64516129;0;0;0;0;2.580645161;10.32258065;0;0;0;1.290322581;1.290322581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2014;Mown_NPK;1;0;0;0;0;0.71942446;0;0;0;0;0;0;0;0;0;0;0;0;0.71942446;2.158273381;0;0;0;0;0;0;0;0;2.158273381;27.3381295;0;0;0;8.633093525;0;0;0;0;0;0;0;0;0;0;1.438848921;0;0;0;0;0;0;0;0;11.51079137;4.316546763;0;0;0;0;0;0;0;15.10791367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.877697842;20.14388489;0;0;0;0.71942446;0.71942446;0;0;0.71942446;0;0;0;0;0;0;0;0;0;0;0;0
13;2014;Mown_NPK;1;1.57480315;1.57480315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.787401575;0.787401575;0;0;0;0;0;0;0;0;0.787401575;25.98425197;0;0;0;11.02362205;0;0;0;0;0;0;0;0;0;0;0;0.787401575;0;0;0;0;0;0;0;8.661417323;0;0;0;0;0;2.362204724;0;0;20.47244094;0.787401575;0;0;0;0;0;0;0;0;0;2.362204724;0;0;0;1.57480315;20.47244094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2014;Mown_NPK;2;0;2.564102564;0;0;19.23076923;0;0;1.282051282;0;0;0;0;0;0;0;0;0;0.641025641;1.282051282;0;0;2.564102564;0;0;0;0;0;0;5.769230769;0;0;0;1.282051282;0;0;0;0;0;0;0;0;0;0;5.128205128;0;0;0;0;0;0;0;0;0;3.205128205;0;0;0;0;0;0;0;23.71794872;1.282051282;0;0;0;0;0;0;0;0;0;0;0;0;0;1.282051282;14.1025641;0;0;0;0;16.02564103;0.641025641;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2014;Mown_NPK;2;5.442176871;0;0;0;21.76870748;0;0;0.680272109;0;0;0;0;0;0;0;0;0;1.360544218;0.680272109;0;0;0;0;0;0;0;0;3.401360544;0;0;0;0;6.12244898;0;0;0;0;0;0;0;0;0;0;5.442176871;0;0;0.680272109;0;0;0;0;0;0;4.081632653;0;0;0;0;0;0;0.680272109;21.76870748;5.442176871;0;0;0;0;0;0;0;1.360544218;0.680272109;0.680272109;0;0;0;0.680272109;13.60544218;0;0;0;2.721088435;2.721088435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2015;Mown_NPK;1;0;0;0;0;0;0;0;0;0;0;0;0.699300699;0;0;0;0;0;2.797202797;0.699300699;0;0;0;0;0;0;0;0;1.398601399;24.47552448;0;0;0;7.692307692;0;0;0;0;0;0;0;0;0;0;3.496503497;0;0;0;0;0;0;0;0;10.48951049;6.993006993;0;0;0;0;0;0;0;16.78321678;0;0;0;0;0;0;0;0;0.699300699;0;0;0;0;0;2.097902098;19.58041958;0;0;0;1.398601399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2015;Mown_NPK;1;1.315789474;1.315789474;0;0;0.657894737;0;0;0;0;0;0;0;0;0;0;0;0;3.947368421;3.947368421;0;0;0;0;0;0;0;0;1.973684211;24.34210526;0;0;0;11.84210526;0;0;0;0;0;0;0;0;0;0;0.657894737;0.657894737;0;0;0;0;0;0;0;9.210526316;0.657894737;0;0;0;0;1.315789474;0;0;11.84210526;0.657894737;0;0;0;0;0;0;0;0;0;1.973684211;0;0;0.657894737;0;21.05263158;0;0;0;1.315789474;0.657894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2015;Mown_NPK;2;0;2.068965517;0;0;20.68965517;0;0;0.689655172;0;0;0;0;0;0;0;0;0;2.75862069;1.379310345;0;0;1.379310345;0;0;0;0;0;1.379310345;6.206896552;0;0;0;2.068965517;0;0;0;0;0;0;0;0;0;0;8.965517241;0;0;0;0;0.689655172;0;0;0;0;0.689655172;0;0;0;0;0;0;2.75862069;11.03448276;0;0;0;0;0;0;0;0;0;0;0;0;0;0.689655172;0.689655172;16.55172414;0;0;0;0;18.62068966;0.689655172;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2015;Mown_NPK;2;10.43956044;0;0;0;19.23076923;0;0;0;0;0;0;0;0.549450549;0;0;0;0;6.593406593;0;0;0;0;0;0;0;0;0;3.296703297;0;0;0;0;4.395604396;0;0;0;0;0;0;0;0;0;0;7.142857143;0;0;0.549450549;0;0;0;0;0;0;3.296703297;0;0;0;0;0;0;0;7.142857143;3.296703297;0;0;0;0;0;0;0;2.197802198;0;0.549450549;0;0;8.241758242;0;15.38461538;0;0;0;0.549450549;7.142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2016;Mown_NPK;1;0;0;0;0;0;0;0;0.675675676;0;0;0;0;0;0;0;0;0;0.675675676;2.027027027;0;0;0;0;0;0;0;0;1.351351351;27.02702703;0;0;0;10.13513514;0;0;0;0;0;0;0;0;0;0;2.702702703;0;0;0.675675676;0;1.351351351;0;0;0;16.21621622;0.675675676;0;0;0;0;0;0;0;12.83783784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.756756757;15.54054054;0;0;0;0;0;0;0;0;0;0;0;0;0;0.675675676;0;0;0;0;0;0
